index,timestamp,participant,target_type,target_id,target_name,render_index,description,referring_type,traits_used,presentation_number,target_presentations,Verified
136,,SYNTHETIC_GENERATED,individual_part,Row3_Screws.stl,Row3_Screws,20,a screw at the base of a Row 3 gear stand,spatial,spatial|relationship,3,9,o
137,,SYNTHETIC_GENERATED,individual_part,Row3_Screws.stl,Row3_Screws,20,a fastener used to secure a Row 3 bearing stand to the baseboard,relationship,relationship|function,4,9,o
138,,SYNTHETIC_GENERATED,individual_part,Row3_Screws.stl,Row3_Screws,20,the black H3 hex-socket screw for the green Row 3 stand,mixed,color|spatial|technical_name|relationship,5,9,o
139,,SYNTHETIC_GENERATED,individual_part,Row3_Screws.stl,Row3_Screws,20,the Row 3 fastener tightened with a 3 mm hex key,function,technical_name|function,6,9,o
140,,SYNTHETIC_GENERATED,individual_part,Row3_Screws.stl,Row3_Screws,20,the small black screw located at the foot of a green support bracket,mixed,size|color|shape|spatial|relationship,7,9,o
141,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,the Row 4 gear shaft,technical_name,technical_name,1,12,o
142,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,the long blue cylindrical shaft with one pin hole,shape,size|color|shape,2,12,o
143,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,the shaft crossing Row 4 between the two blue brackets,spatial,color|spatial|relationship,3,12,o
144,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,the shaft that passes through both Row 4 bearings and carries one large gear,relationship,relationship|function,4,12,o
145,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,the long blue square-row gear shaft seated in both bearing brackets,mixed,size|color|shape|relationship,5,12,o
146,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,the Row 4 shaft that carries one large gear and transfers rotation between the two stands,function,function|relationship,6,12,o
147,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,the long blue cylindrical rod with one retaining-pin hole spanning Row 4,mixed,size|color|shape|spatial,7,12,o
148,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,the Row 4 left gear stand,technical_name,technical_name,1,12,o
149,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,the upright blue left stand with a circular bearing opening,shape,color|shape|spatial,2,12,o
150,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,the left bearing support bracket in Row 4,spatial,spatial,3,12,o
151,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,"the Row 4 support bracket where the left bearing fits, next to the large left gear",relationship,spatial|relationship,4,12,o
152,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,the blue square-row left gear stand supporting the gear shaft,mixed,color|shape|spatial|relationship|function,5,12,o
153,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,the left Row 4 support that holds a bearing and supports the gear shaft,function,spatial|function|relationship,6,12,o
154,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,"the upright blue bearing bracket on the left, beside the large left gear in the square-marked row",mixed,color|shape|spatial|relationship,7,12,o
155,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,the Row 4 right gear stand,technical_name,technical_name,1,12,o
156,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,the upright blue right stand with a circular bearing opening,shape,color|shape|spatial,2,12,o
157,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,the right bearing support bracket in Row 4,spatial,spatial,3,12,o
158,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,"the Row 4 right stand where the bearing fits, at the right end of the blue gear rod",relationship,spatial|relationship,4,12,o
159,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,the blue square-row right gear stand supporting the gear shaft,mixed,color|shape|spatial|relationship|function,5,12,o
160,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,the right Row 4 support that holds a bearing and supports the gear shaft,function,spatial|function|relationship,6,12,o
161,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,"the upright blue bearing bracket on the right, beside the crank-side end of the shaft in the square-marked row",mixed,color|shape|spatial|relationship,7,12,o
162,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,the Row 4 left spur gear,technical_name,technical_name,1,12,o
163,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,the large blue spur wheel,size,size|color|shape,2,12,o
164,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,the left-side gear on the shaft in Row 4,spatial,spatial|relationship,3,12,o
165,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,"the Row 4 gear next to the left blue bracket, the only gear in Row 4",relationship,color|spatial|size|relationship,4,12,o
166,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,the large blue spur gear on the left side of the square-marked shaft,mixed,size|color|shape|spatial,5,12,o
167,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,the Row 4 spur gear that transmits rotation along the gear train,function,technical_name|function|relationship,6,12,o
168,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,"the large blue toothed wheel on the left side, beside the gear shaft",mixed,size|color|shape|spatial|relationship,7,12,o
169,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,a Row 4 Phillips mounting screw,technical_name,technical_name,1,9,o
170,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,a small silver screw with a recessed Phillips head,color,size|color|shape|technical_name,2,9,o
171,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,a screw at the base of a Row 4 gear stand,spatial,spatial|relationship,3,9,o
172,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,a fastener used to secure a Row 4 bearing stand to the baseboard,relationship,relationship|function,4,9,o
173,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,the silver Phillips screw for the blue Row 4 stand,mixed,color|spatial|technical_name|relationship,5,9,o
174,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,the Row 4 fastener tightened with a Phillips screwdriver,function,technical_name|function,6,9,o
175,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,the small silver screw located at the foot of a blue support bracket,mixed,size|color|shape|spatial|relationship,7,9,o
176,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,the wooden retaining dowel,technical_name,technical_name,1,10,o
177,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,the short thin brown cylindrical peg,shape,size|color|shape|material,2,10,o
178,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,the small peg positioned crosswise through a gear-shaft hole,spatial,spatial|relationship,3,10,o
179,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,the dowel that prevents a gear or crank from sliding along its shaft,relationship,relationship|function,4,10,o
180,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,the small brown cylindrical retaining pin fitted beside a gear,mixed,size|color|shape|material|relationship,5,10,o
181,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,the wooden retainer inserted through a shaft hole to stop an attached part sliding,function,material|function|relationship,6,10,o
182,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,the short brown dowel crossing the gear rod beside a gear or the crank,mixed,size|color|shape|spatial|relationship,7,10,o
183,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BaseBoard,1,black baseboard,mixed,color|technical_name,8,10,o
184,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BaseBoard,1,gearbox base,technical_name,technical_name,9,10,o
185,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BaseBoard,1,mounting plate,technical_name,technical_name,10,10,o
186,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,Bearing,2,black bearing,mixed,color|technical_name,8,10,o
187,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,Bearing,2,circular bearing,mixed,shape|technical_name,9,10,o
188,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,Bearing,2,gear-stand bearing,relationship,technical_name|relationship,10,10,o
189,,SYNTHETIC_GENERATED,individual_part,Handle.stl,Handle,3,white handle,mixed,color|technical_name,8,10,o
190,,SYNTHETIC_GENERATED,individual_part,Handle.stl,Handle,3,Row 1 crank,mixed,spatial|technical_name,9,10,o
191,,SYNTHETIC_GENERATED,individual_part,Handle.stl,Handle,3,right-side crank,mixed,spatial|technical_name,10,10,o
192,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,Row1_GearRod,4,white gear rod,mixed,color|technical_name,8,12,o
193,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,Row1_GearRod,4,Row 1 shaft,mixed,spatial|technical_name,9,12,o
194,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,Row1_GearRod,4,gear rod of Row 1,mixed,spatial|technical_name,10,12,o
195,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,Row1_GearStand_Left,5,white left stand,mixed,color|spatial|technical_name,8,12,o
196,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,Row1_GearStand_Left,5,Row 1 left bracket,mixed,spatial|technical_name,9,12,o
197,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,Row1_GearStand_Left,5,left gear stand of Row 1,mixed,spatial|technical_name,10,12,o
198,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,Row1_GearStand_Right,6,white right stand,mixed,color|spatial|technical_name,8,12,o
199,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,Row1_GearStand_Right,6,Row 1 right bracket,mixed,spatial|technical_name,9,12,o
200,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,Row1_GearStand_Right,6,right gear stand of Row 1,mixed,spatial|technical_name,10,12,o
201,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,Row1_Gear_Left,7,gear of Row 1,mixed,spatial|technical_name,8,12,o
202,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,Row1_Gear_Left,7,white gear,mixed,color|technical_name,9,12,o
203,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,Row1_Gear_Left,7,Row 1 gear,mixed,spatial|technical_name,10,12,o
204,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,Row1_Screws,8,Row 1 screw,mixed,spatial|technical_name,9,9,o
205,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,Row1_Screws,8,H5 screw,technical_name,technical_name,10,9,o
206,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,Row2_GearRod,9,red gear rod,mixed,color|technical_name,8,12,o
207,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,Row2_GearRod,9,Row 2 shaft,mixed,spatial|technical_name,9,12,o
208,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,Row2_GearRod,9,gear rod of Row 2,mixed,spatial|technical_name,10,12,o
209,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,Row2_GearStand_Left,10,red left stand,mixed,color|spatial|technical_name,8,12,o
210,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,Row2_GearStand_Left,10,Row 2 left bracket,mixed,spatial|technical_name,9,12,o
211,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,Row2_GearStand_Left,10,left gear stand of Row 2,mixed,spatial|technical_name,10,12,o
212,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,Row2_GearStand_Right,11,red right stand,mixed,color|spatial|technical_name,8,12,o
213,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,Row2_GearStand_Right,11,Row 2 right bracket,mixed,spatial|technical_name,9,12,o
214,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,Row2_GearStand_Right,11,right gear stand of Row 2,mixed,spatial|technical_name,10,12,o
215,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,Row2_Gear_Left,12,smaller gear of Row 2,mixed,size|spatial|technical_name,8,12,o
216,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,Row2_Gear_Left,12,red smaller gear,mixed,color|size|technical_name,9,12,o
217,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,Row2_Gear_Left,12,left gear of Row 2,mixed,spatial|technical_name,10,12,o
218,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,Row2_Gear_Right,13,larger gear of Row 2,mixed,size|spatial|technical_name,8,12,o
219,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,Row2_Gear_Right,13,red larger gear,mixed,color|size|technical_name,9,12,o
220,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,Row2_Gear_Right,13,right gear of Row 2,mixed,spatial|technical_name,10,12,o
221,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,Row2_Screws,14,Row 2 screw,mixed,spatial|technical_name,9,9,o
222,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,Row2_Screws,14,T25 screw,technical_name,technical_name,10,9,o
223,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,Row3_GearRod,15,green gear rod,mixed,color|technical_name,8,12,o
224,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,Row3_GearRod,15,Row 3 shaft,mixed,spatial|technical_name,9,12,o
225,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,Row3_GearRod,15,gear rod of Row 3,mixed,spatial|technical_name,10,12,o
226,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Left.stl,Row3_GearStand_Left,16,green left stand,mixed,color|spatial|technical_name,8,12,o
227,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Left.stl,Row3_GearStand_Left,16,Row 3 left bracket,mixed,spatial|technical_name,9,12,o
228,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Left.stl,Row3_GearStand_Left,16,left gear stand of Row 3,mixed,spatial|technical_name,10,12,o
229,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Right.stl,Row3_GearStand_Right,17,green right stand,mixed,color|spatial|technical_name,8,12,o
230,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Right.stl,Row3_GearStand_Right,17,Row 3 right bracket,mixed,spatial|technical_name,9,12,o
231,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Right.stl,Row3_GearStand_Right,17,right gear stand of Row 3,mixed,spatial|technical_name,10,12,o
232,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Left.stl,Row3_Gear_Left,18,smaller gear of Row 3,mixed,size|spatial|technical_name,8,12,o
233,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Left.stl,Row3_Gear_Left,18,green smaller gear,mixed,color|size|technical_name,9,12,o
234,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Left.stl,Row3_Gear_Left,18,left gear of Row 3,mixed,spatial|technical_name,10,12,o
235,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Right.stl,Row3_Gear_Right,19,larger gear of Row 3,mixed,size|spatial|technical_name,8,12,o
236,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Right.stl,Row3_Gear_Right,19,green larger gear,mixed,color|size|technical_name,9,12,o
237,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Right.stl,Row3_Gear_Right,19,right gear of Row 3,mixed,spatial|technical_name,10,12,o
238,,SYNTHETIC_GENERATED,individual_part,Row3_Screws.stl,Row3_Screws,20,Row 3 screw,mixed,spatial|technical_name,9,9,o
239,,SYNTHETIC_GENERATED,individual_part,Row3_Screws.stl,Row3_Screws,20,H3 screw,technical_name,technical_name,10,9,o
240,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,blue gear rod,mixed,color|technical_name,8,12,o
241,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,Row 4 shaft,mixed,spatial|technical_name,9,12,o
242,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,gear rod of Row 4,mixed,spatial|technical_name,10,12,o
243,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,blue left stand,mixed,color|spatial|technical_name,8,12,o
244,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,Row 4 left bracket,mixed,spatial|technical_name,9,12,o
245,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,left gear stand of Row 4,mixed,spatial|technical_name,10,12,o
246,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,blue right stand,mixed,color|spatial|technical_name,8,12,o
247,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,Row 4 right bracket,mixed,spatial|technical_name,9,12,o
248,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,right gear stand of Row 4,mixed,spatial|technical_name,10,12,o
249,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,gear of Row 4,mixed,spatial|technical_name,8,12,o
250,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,blue gear,mixed,color|technical_name,9,12,o
251,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,Row 4 gear,mixed,spatial|technical_name,10,12,o
252,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,Row 4 screw,mixed,spatial|technical_name,9,9,o
253,,SYNTHETIC_GENERATED,individual_part,Row4_Screws.stl,Row4_Screws,25,Phillips screw,technical_name,technical_name,10,9,o
254,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,wooden pin,mixed,material|technical_name,8,10,o
255,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,brown pin,mixed,color|technical_name,9,10,o
256,,SYNTHETIC_GENERATED,individual_part,WoodenPin.stl,WoodenPin,26,retaining pin,technical_name,technical_name,10,10,o
257,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,Row1_GearRod,4,white gear rod in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
258,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,Row1_GearRod,4,circle-row white shaft,mixed,color|shape|spatial|technical_name,12,12,o
259,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,Row1_GearStand_Left,5,white left gear stand in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
260,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,Row1_GearStand_Left,5,left bracket of the white circle row,mixed,color|shape|spatial|technical_name,12,12,o
261,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,Row1_GearStand_Right,6,white right gear stand in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
262,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,Row1_GearStand_Right,6,right bracket of the white circle row,mixed,color|shape|spatial|technical_name,12,12,o
263,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,Row1_Gear_Left,7,white gear in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
264,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,Row1_Gear_Left,7,circle-row white gear,mixed,color|shape|spatial|technical_name,12,12,o
265,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,Row2_GearRod,9,red gear rod in the triangle row,mixed,color|shape|spatial|technical_name,11,12,o
266,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,Row2_GearRod,9,triangle-row red shaft,mixed,color|shape|spatial|technical_name,12,12,o
267,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,Row2_GearStand_Left,10,red left gear stand in the triangle row,mixed,color|shape|spatial|technical_name,11,12,o
268,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,Row2_GearStand_Left,10,left bracket of the red triangle row,mixed,color|shape|spatial|technical_name,12,12,o
269,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,Row2_GearStand_Right,11,red right gear stand in the triangle row,mixed,color|shape|spatial|technical_name,11,12,o
270,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,Row2_GearStand_Right,11,right bracket of the red triangle row,mixed,color|shape|spatial|technical_name,12,12,o
271,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,Row2_Gear_Left,12,smaller red gear in the triangle row,mixed,size|color|shape|spatial|technical_name,11,12,o
272,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,Row2_Gear_Left,12,triangle-row red left gear,mixed,color|shape|spatial|technical_name,12,12,o
273,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,Row2_Gear_Right,13,larger red gear in the triangle row,mixed,size|color|shape|spatial|technical_name,11,12,o
274,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,Row2_Gear_Right,13,triangle-row red right gear,mixed,color|shape|spatial|technical_name,12,12,o
275,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,Row3_GearRod,15,green gear rod in the hexagon row,mixed,color|shape|spatial|technical_name,11,12,o
276,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,Row3_GearRod,15,hexagon-row green shaft,mixed,color|shape|spatial|technical_name,12,12,o
277,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Left.stl,Row3_GearStand_Left,16,green left gear stand in the hexagon row,mixed,color|shape|spatial|technical_name,11,12,o
278,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Left.stl,Row3_GearStand_Left,16,left bracket of the green hexagon row,mixed,color|shape|spatial|technical_name,12,12,o
279,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Right.stl,Row3_GearStand_Right,17,green right gear stand in the hexagon row,mixed,color|shape|spatial|technical_name,11,12,o
280,,SYNTHETIC_GENERATED,individual_part,Row3_GearStand_Right.stl,Row3_GearStand_Right,17,right bracket of the green hexagon row,mixed,color|shape|spatial|technical_name,12,12,o
281,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Left.stl,Row3_Gear_Left,18,smaller green gear in the hexagon row,mixed,size|color|shape|spatial|technical_name,11,12,o
282,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Left.stl,Row3_Gear_Left,18,hexagon-row green left gear,mixed,color|shape|spatial|technical_name,12,12,o
283,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Right.stl,Row3_Gear_Right,19,larger green gear in the hexagon row,mixed,size|color|shape|spatial|technical_name,11,12,o
284,,SYNTHETIC_GENERATED,individual_part,Row3_Gear_Right.stl,Row3_Gear_Right,19,hexagon-row green right gear,mixed,color|shape|spatial|technical_name,12,12,o
285,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,blue gear rod in the square row,mixed,color|shape|spatial|technical_name,11,12,o
286,,SYNTHETIC_GENERATED,individual_part,Row4_GearRod.stl,Row4_GearRod,21,square-row blue shaft,mixed,color|shape|spatial|technical_name,12,12,o
287,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,blue left gear stand in the square row,mixed,color|shape|spatial|technical_name,11,12,o
288,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Left.stl,Row4_GearStand_Left,22,left bracket of the blue square row,mixed,color|shape|spatial|technical_name,12,12,o
289,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,blue right gear stand in the square row,mixed,color|shape|spatial|technical_name,11,12,o
290,,SYNTHETIC_GENERATED,individual_part,Row4_GearStand_Right.stl,Row4_GearStand_Right,23,right bracket of the blue square row,mixed,color|shape|spatial|technical_name,12,12,o
291,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,blue gear in the square row,mixed,color|shape|spatial|technical_name,11,12,o
292,,SYNTHETIC_GENERATED,individual_part,Row4_Gear_Left.stl,Row4_Gear_Left,24,square-row blue gear,mixed,color|shape|spatial|technical_name,12,12,o
